"plate","conc_uM","ph_buffer","sample_id","enzyme","activity"
"5-sw61-6.5-bc",300,6.5,"SW1_SH_A_3","BG",84.2435548696324
"5-sw61-6.5-bc",300,6.5,"SW1_SH_A_3","Cello",13.280719992399
"5-sw61-6.5-bc",37.2,6.5,"SW1_SH_A_3","BG",50.1997421563175
"5-sw61-6.5-bc",37.2,6.5,"SW1_SH_A_3","Cello",7.33995911436941
"5-sw61-6.5-bc",4.8,6.5,"SW1_SH_A_3","BG",19.1851564387977
"5-sw61-6.5-bc",4.8,6.5,"SW1_SH_A_3","Cello",1.32884527187578
"5-sw61-6.5-bc",75,6.5,"SW1_SH_A_3","BG",86.0392521329936
"5-sw61-6.5-bc",75,6.5,"SW1_SH_A_3","Cello",8.8712587862909
"5-sw61-6.5-bc",9.6,6.5,"SW1_SH_A_3","BG",27.4427584172326
"5-sw61-6.5-bc",9.6,6.5,"SW1_SH_A_3","Cello",3.45974892538705
"6-sw61-6.5-np",150,6.5,"SW1_SH_A_3","NAG",33.0181995347897
"6-sw61-6.5-np",150,6.5,"SW1_SH_A_3","P",325.442291100877
"6-sw61-6.5-np",18.6,6.5,"SW1_SH_A_3","NAG",9.30711875576513
"6-sw61-6.5-np",18.6,6.5,"SW1_SH_A_3","P",207.106647356467
"6-sw61-6.5-np",210,6.5,"SW1_SH_A_3","NAG",35.2374387262909
"6-sw61-6.5-np",210,6.5,"SW1_SH_A_3","P",358.465702082316
"6-sw61-6.5-np",300,6.5,"SW1_SH_A_3","NAG",28.3622473087374
"6-sw61-6.5-np",300,6.5,"SW1_SH_A_3","P",370.52816540319
"6-sw61-6.5-np",37.2,6.5,"SW1_SH_A_3","NAG",16.7036363483498
"6-sw61-6.5-np",37.2,6.5,"SW1_SH_A_3","P",333.000932192799
"6-sw61-6.5-np",4.8,6.5,"SW1_SH_A_3","NAG",0.452502482291887
"6-sw61-6.5-np",4.8,6.5,"SW1_SH_A_3","P",26.5579528850342
"6-sw61-6.5-np",75,6.5,"SW1_SH_A_3","NAG",22.8601377791132
"6-sw61-6.5-np",75,6.5,"SW1_SH_A_3","P",345.206154720173
"6-sw61-6.5-np",9.6,6.5,"SW1_SH_A_3","NAG",6.93469382371606
"6-sw61-6.5-np",9.6,6.5,"SW1_SH_A_3","P",93.0438448528748
"7-sw61-7-bc",150,7,"SW1_SH_A_3","BG",46.3645872969041
"7-sw61-7-bc",150,7,"SW1_SH_A_3","Cello",5.03084928448002
"7-sw61-7-bc",18.6,7,"SW1_SH_A_3","BG",22.0066988766557
"7-sw61-7-bc",18.6,7,"SW1_SH_A_3","Cello",-0.231407926637917
"7-sw61-7-bc",210,7,"SW1_SH_A_3","BG",36.9779049857186
"7-sw61-7-bc",210,7,"SW1_SH_A_3","Cello",6.94435292412761
"7-sw61-7-bc",300,7,"SW1_SH_A_3","BG",44.1584626471088
"7-sw61-7-bc",300,7,"SW1_SH_A_3","Cello",6.65969565927418
"7-sw61-7-bc",37.2,7,"SW1_SH_A_3","BG",30.1897998933121
"7-sw61-7-bc",37.2,7,"SW1_SH_A_3","Cello",4.12635332128942
"7-sw61-7-bc",4.8,7,"SW1_SH_A_3","BG",7.48133580458364
"7-sw61-7-bc",4.8,7,"SW1_SH_A_3","Cello",-0.311140293800057
"7-sw61-7-bc",75,7,"SW1_SH_A_3","BG",39.9805521648151
"7-sw61-7-bc",75,7,"SW1_SH_A_3","Cello",3.91535965191917
"7-sw61-7-bc",9.6,7,"SW1_SH_A_3","BG",0.815750965724427
"7-sw61-7-bc",9.6,7,"SW1_SH_A_3","Cello",2.96424237116213
"8-sw61-7-np",150,7,"SW1_SH_A_3","NAG",21.8341864601961
"8-sw61-7-np",150,7,"SW1_SH_A_3","P",338.523067474984
"8-sw61-7-np",18.6,7,"SW1_SH_A_3","NAG",9.11996407112849
"8-sw61-7-np",18.6,7,"SW1_SH_A_3","P",149.651319826929
"8-sw61-7-np",210,7,"SW1_SH_A_3","NAG",22.8525475349746
"8-sw61-7-np",210,7,"SW1_SH_A_3","P",382.645577130531
"8-sw61-7-np",300,7,"SW1_SH_A_3","NAG",29.3860989918888
"8-sw61-7-np",300,7,"SW1_SH_A_3","P",392.376090631668
"8-sw61-7-np",37.2,7,"SW1_SH_A_3","NAG",13.0584037448666
"8-sw61-7-np",37.2,7,"SW1_SH_A_3","P",222.796450404661
"8-sw61-7-np",4.8,7,"SW1_SH_A_3","NAG",-0.490636608002383
"8-sw61-7-np",4.8,7,"SW1_SH_A_3","P",52.4081762808064
"8-sw61-7-np",75,7,"SW1_SH_A_3","NAG",20.7533704225671
"8-sw61-7-np",75,7,"SW1_SH_A_3","P",292.800450742304
"8-sw61-7-np",9.6,7,"SW1_SH_A_3","NAG",3.06237293036757
"8-sw61-7-np",9.6,7,"SW1_SH_A_3","P",95.2640481176266
